XACC_mean,XACC_var,YACC_mean,YACC_var,ZACC_mean,ZACC_var,XAX_mean,XAX_var,YAX_mean,YAX_var,ZAX_mean,ZAX_var,output
13468.78617363344,16853.93880083682,2395.0916398713825,13488.334455002609,-993.903536977492,7736.913734325,-1.2009646302250805,8933.246851903068,-1234.3971061093248,12250.205910189952,34.79099678456592,18530.103855615234,1
14323.295546558704,19688.444058428966,3710.726720647773,19770.428084316598,-1761.3987854251013,12706.26462174497,-311.9655870445344,12139.433457881241,-1382.8117408906883,12038.816002639947,395.54655870445345,21722.042334303747,1
13965.122370936902,17139.888345564177,3225.395793499044,16152.507924857602,-763.3307839388145,8609.97265891752,-77.24282982791587,10389.482701691013,-1568.9713193116636,13009.838874238934,66.61759082217974,19781.640194496453,1
13379.598684210527,16194.145614531322,3312.4851973684213,13902.616918858543,-1286.064144736842,9422.240932597977,-317.8799342105263,11594.995762334662,-1074.9588815789473,11600.206444931404,359.9671052631579,19561.992227698687,1
13042.687409551374,15965.098977279142,2572.7438494934877,16399.675744923727,-1416.1056439942113,9903.867349390863,395.44428364688855,12746.96599096388,-988.2706222865412,11737.893626459465,599.3589001447178,17281.12225652365,1
13137.161442006269,16094.762239087762,2328.898119122257,13743.199738274885,-1110.7413793103449,9481.515769858628,-151.20219435736678,10105.684106194232,-1231.2115987460816,11981.330017560345,260.47492163009406,18691.84908396034,1
13243.43842364532,15905.019331459906,3370.6847290640394,18701.627314126796,-1302.6995073891626,9078.952681130153,-301.51231527093597,10608.16991711534,-1209.632183908046,10960.848255028073,411.25451559934316,19963.77280627197,1
13155.346278317153,14895.47326807366,3429.4870550161813,17069.612071446918,-1056.4935275080907,10328.968334882484,-363.5744336569579,11107.84084195941,-1092.6003236245954,11324.87936832436,591.0275080906149,18704.21941660906,1
13482.683937823835,16690.650307496384,3616.3920552677027,15886.8530610501,-1276.7236614853196,10774.693118389832,-175.04490500863557,11715.064875304024,-890.3471502590673,11459.874801488162,840.9447322970639,20742.54115961171,1
13369.260416666666,15378.232175266867,3162.2361111111113,15026.53980152328,-982.8125,7342.44993040026,16.057291666666668,12130.045886368593,-1229.907986111111,12517.540378769601,461.96875,19583.027571829178,1
12686.18112633181,14224.419888265813,3089.601217656012,14264.305563418917,445.1232876712329,11081.902822172817,-715.8797564687976,9838.101888605364,-111.34246575342466,11330.541414686082,593.9878234398782,19084.960123311448,1
13821.589743589744,18818.642287378374,2699.8358974358976,16420.10367827244,-1666.9521367521368,10058.749846974351,-403.2393162393162,10907.738793936132,-1292.8273504273504,12966.082044770363,-121.79145299145299,20308.00441077888,1
12925.789830508475,13719.20020833696,2956.9745762711864,14867.447526737846,-1103.2983050847458,8690.330292927127,317.1915254237288,10635.308246579329,-1256.6508474576272,12193.99608522335,271.1898305084746,18334.23625212196,1
13711.78642384106,15830.757903736454,2926.251655629139,13726.470931080752,-1346.9619205298013,11657.576297749503,176.2913907284768,8493.977241022236,-1458.5761589403974,11603.230229282097,651.0165562913908,19939.884390725034,1
13662.509025270758,17146.76991869267,4059.51083032491,16116.559444780198,-1841.158844765343,10960.716096214303,-223.96750902527077,10770.5101270447,-1077.0703971119133,11790.020741979255,817.8285198555957,21336.82455781665,1
13040.798270893372,15036.203862771525,2828.693083573487,14720.89303364355,-1315.3703170028818,9527.486491329464,-43.13976945244957,9371.353196584048,-958.6743515850144,10102.990826617524,399.54899135446686,18368.712413697773,1
13239.38053097345,15978.891360403173,2995.7758112094393,15252.587559052505,-1784.1356932153392,10492.811125991242,-301.67846607669617,10999.812443808954,-1334.6061946902655,11307.050552018398,522.1828908554572,19436.209955891987,1
13766.968067226891,17684.955328575925,3069.4302521008403,17552.08784878906,-1791.781512605042,9813.843224291428,114.15798319327732,9965.196832190131,-1238.8319327731092,10907.43444415432,866.673949579832,22079.12735485934,1
13355.264615384616,17200.77405801535,2748.1292307692306,17129.03303246688,-1734.0384615384614,10085.982600165691,-760.9492307692308,11631.770995776564,-1036.6215384615384,11263.52657384261,332.83230769230767,19327.130418979345,1
13348.264750378215,16624.326627997492,2523.869894099849,15686.326882893463,-895.9016641452345,10310.60679081793,-295.4856278366112,11862.599080731505,-1177.24810892587,11843.88587871589,371.9924357034796,19987.610609353855,1
13552.456628477905,16960.014342207083,2706.045826513912,17418.644517981247,-1240.4828150572832,9398.411455811933,-233.8445171849427,12912.61767446605,-1099.8379705400982,11187.730181528648,380.75613747954174,19663.617350977907,1
13305.438759689923,16794.805998744134,3417.2248062015506,15628.982680419398,-1581.629457364341,9951.786467050873,-342.6263565891473,11798.474516810993,-759.8248062015504,11373.172754282887,417.2341085271318,20141.28190019957,1
13991.834572490707,18292.69452343995,3028.775092936803,13028.91058140125,-1941.9944237918216,12997.48298172781,-433.40520446096656,10369.323198964872,-1455.736059479554,13254.347210580489,263.24349442379184,20110.40184304707,1
13333.939641109298,15591.893439457463,4187.553017944535,18826.245297522684,-58.458401305057095,10870.931808089232,-914.7862969004894,13734.297336657137,-608.7862969004894,10693.496527577034,254.6231647634584,21643.39506978928,1
14088.57281553398,17812.517837742147,2803.4233009708737,15108.358030728225,-733.8427184466019,10105.647993195385,-99.45242718446602,10544.909508385912,-1390.4233009708737,13886.53838333476,-179.9126213592233,20729.63666734307,1
13890.599264705883,17635.590911262138,2610.6819852941176,15572.214107266436,-675.34375,13153.258457057555,111.87867647058823,12293.36719693431,-1338.7224264705883,13804.039159136471,-233.81066176470588,19867.578400453207,1
13816.382189239332,18840.809718532335,3336.601113172542,18938.499799916797,-1475.252319109462,11502.45061828911,-35.252319109461965,12441.877568992266,-1487.7235621521336,12834.047548434777,268.1873840445269,19809.1605393876,1
13818.067765567766,18379.195344042728,2991.087912087912,16250.532361062678,-1120.1831501831502,10696.357369134097,-119.81135531135531,9390.240437129401,-1724.3553113553114,12713.413011971716,-179.43040293040292,19640.740069664844,1
10543.364829396325,9084.093414591041,1687.1364829396325,13891.096388605802,-4402.464566929134,7874.630494432194,-150.33070866141733,8110.8793357296745,-205.57874015748033,5325.8989986904335,237.54330708661416,14777.50083680242,0
11355.762652705062,12696.293367858534,2899.1413612565443,15849.57879233129,-4480.551483420593,7834.949261679783,-192.32984293193718,11110.132452857366,-106.14659685863874,5230.535166579175,478.6038394415358,19821.690609550802,0
11359.023188405798,12101.169022660219,3873.901449275362,16537.785258663916,-3522.205797101449,7332.041924257287,-421.5536231884058,10164.860248716173,383.84057971014494,3830.7710279142702,-80.75942028985507,19877.37309749421,0
12017.390829694323,13056.60486655044,3957.288209606987,15875.8711718755,-4919.17903930131,11341.089396663114,-432.8973799126638,11275.508528579432,-685.6768558951965,10123.39993810024,339.05021834061137,21409.510708018817,0
11452.131178707225,13426.101705044093,4806.247148288973,16833.070151900436,-4521.56463878327,11343.295258626802,-484.4486692015209,9192.96462116175,-286.0893536121673,8968.677738589306,254.40684410646386,19416.745090817403,0
12021.679930795848,14838.218803176174,5233.716262975779,14706.533639292838,-4360.747404844291,9819.409905526787,318.19723183391005,11579.891254021617,-612.3217993079585,8398.317545892054,-53.08650519031142,21076.826492154178,0
13907.239858906525,20291.64705924571,6179.282186948853,16951.580977002603,-4783.871252204585,10378.557972030656,737.1728395061729,14368.333140331826,-1089.0493827160494,8097.175231898648,111.92239858906525,24313.60764717615,0
10734.36152570481,6788.2078432309845,2532.4593698175786,10325.395157043335,-2788.051409618574,7593.960003662105,431.7313432835821,7876.335522938085,-125.61194029850746,5268.709045106157,372.40132669983416,14675.861460782393,0
11259.725773195876,7454.622280165076,2254.637113402062,11320.742038485178,-3211.364948453608,7075.712169045747,164.41855670103092,6380.873136131685,164.91752577319588,6358.5254714336015,428.4742268041237,16886.845007021686,0
10777.14309484193,6531.350826040742,1274.1564059900165,10004.645358640308,-2761.55074875208,6393.386602928343,101.77537437603993,8158.419696717776,235.76372712146423,6018.042044891518,396.4209650582363,15314.884281448547,0
11172.571684587814,5895.788423289544,1596.6594982078852,10788.433023598758,-3121.3118279569894,7298.322950146522,203.08064516129033,7349.377141059491,139.5483870967742,5600.209842213829,310.35483870967744,15103.563728331354,0
10843.653379549394,11756.772687644821,3025.533795493934,15107.144154546033,-4788.575389948007,8672.177077018041,-625.2218370883883,9603.360922781298,38.73830155979203,6538.238022858132,606.105719237435,18552.92059885679,0
11218.386281588448,6381.458489883927,2226.4602888086642,10772.23712861917,-3084.575812274368,5234.58961973227,207.95306859205778,6072.658337012119,266.98375451263536,5804.405537165737,208.68592057761734,15675.055135229855,0
10884.382397572079,6315.874247969464,1899.1745068285281,9054.222156461528,-2446.597875569044,5513.254474203119,311.23065250379364,6417.565405980031,244.77238239757207,5168.517320135149,325.1866464339909,14868.972581085953,0
11078.823630136987,6031.275420562879,1760.3544520547946,8879.178982453846,-2556.806506849315,4913.023495583606,322.6592465753425,5727.1810297471675,-163.0736301369863,5312.182576102033,400.8321917808219,15344.70029170065,0
10641.712698412699,5826.501692249887,626.2253968253968,9814.24073842954,-2250.5444444444443,4130.4461544037285,-116.74285714285715,6338.538539577968,213.0952380952381,5123.129592737592,338.5190476190476,14604.281097256418,0
10842.640522875818,5820.856886390637,1533.076797385621,9406.304492826524,-2459.8839869281046,4974.523500157784,-114.8970588235294,6933.059775472124,113.5702614379085,5367.3286269021455,471.05882352941177,15705.034924617039,0
11000.473861720067,6378.393642275381,1487.5345699831366,9687.72508313419,-2876.639123102867,6786.362823803679,-98.1787521079258,6255.306383471701,157.29510961214166,6181.481989245889,355.54806070826305,15460.814799955206,0
11302.239685658153,6611.53534868015,1650.9115913555993,9977.103282589585,-2595.762278978389,5823.586134759924,154.48133595284872,6197.962931967938,147.7426326129666,6174.846874521595,413.35952848722985,16078.358099250338,0
11170.210247349823,6391.748530277289,1734.9787985865723,11353.18569504165,-2523.952296819788,7527.481281174224,82.62190812720848,6830.474835861866,110.93109540636043,5586.1315258023,170.34805653710248,16340.477805128012,0
11115.271626297577,7016.058634531191,1587.48615916955,11485.29235270125,-2935.205882352941,6299.740500900243,103.23702422145328,7232.783955804832,96.70242214532873,5735.897841356305,503.1280276816609,16004.228103421716,0
10847.781196581196,5773.145566575036,2012.965811965812,11858.982633640777,-2798.586324786325,6756.093167668992,-15.172649572649572,6758.992640397628,324.7230769230769,6112.541493701568,341.5931623931624,15320.480474218557,0
11186.62620423892,11565.763493359673,3473.31021194605,16456.40367613305,-4459.184971098266,10473.336685354529,12.803468208092486,12431.758361758873,-482.09441233140655,7420.854267183507,195.28131021194605,17114.37469121472,0
11518.9152,8926.055837182656,1597.7392,11731.933698742168,-2868.5488,5967.686622655425,-307.8688,5848.192142202405,202.7424,6738.673848021602,329.2736,17038.8173164105,0
11289.557565789473,10965.452420554977,2396.215460526316,14315.944752827907,-4710.6891447368425,10239.022189839883,-615.0509868421053,10637.964169870045,-685.2269736842105,7722.117103143306,262.1875,18035.233914670418,0
11904.375399361023,12532.975058063823,2400.2332268370606,15015.214298994144,-4474.776357827476,8685.01939117606,-494.7779552715655,9417.568806959536,-951.2444089456869,9031.709168533313,-89.91373801916933,18117.888935539562,0
11230.455830388693,11398.303595882486,2932.50765606596,12562.052809753965,-3347.2131919905773,9363.011365888131,-416.9611307420495,8058.864282761469,-130.7550058892815,6601.042985149687,-302.35689045936397,16885.338797397686,0
11416.53112033195,13324.291310664965,4573.207468879668,14769.43338936663,-4358.112033195021,13783.796940298147,-637.1701244813278,9692.860872415089,-783.7095435684647,9537.612691283475,292.6908713692946,19111.245247673287,0
